,Type,Name,Qty,MRP,Price
428,drinks,"Horlicks Chocolate Delight, Health & Nutrition Drink",750 g,292,262
429,drinks,"Horlicks Classic Malt, Health & Nutrition Drink (Refill) - 750 g",750 g,330,305
430,drinks,Appy Fizz Soft Drink (Can) - Buy 4 Get 2 Free,6x250 ml,150,100
431,drinks,Mountain Dew Grip Soft Drink (Bottle) - Pack of 2,2x600 ml,80,74
432,drinks,7UP Nimbooz Masala Soft Drink (Bottle),500 ml,35,35
433,drinks,Pepsi Soft Drink (Bottle),2.25 l,90,83
434,drinks,7UP Nimbooz Soft Drink (Bottle),350 ml,20,20
435,drinks,Protinex Original Health Drink,400 g,595,535
436,drinks,Complan Kesar Badam Nutrition and Health Drink (Carton),500 g,315,300
437,drinks,"Junior Horlicks Chocolate Stage 1, Health & Nutrition Drink (Jar)",500 g,288,288
438,drinks,"Women's Horlicks Caramel, Health & Nutrition Drink (Jar)",400 g,299,279
439,drinks,Horlicks Protein+Chocolate Health Drink (Jar),400 g,535,495
440,drinks,"Horlicks Classic Malt, Health & Nutrition Drink (Jar)",500 g,242,242
441,drinks,Protinex Original Acti Pro 5 Health Drink,750 g,990,990
442,drinks,Boost 3x Stamina Health Drink (Refill),750 g,351,326
443,drinks,Protinex Vanilla Health Drink,400 g,550,490
444,drinks,Coca-Cola Soft Drink (Can),300 ml,35,35
445,drinks,Pepsi Swag Soft Drink (Can) - Buy 5 Get 1 Free,6x250 ml,180,150
446,drinks,Horlicks Royal Kesar Badam Health Drink (Carton),400 g,263,263
447,drinks,7UP Soft Drink (Can),250 ml,30,30
448,drinks,Pepsi Soft Drink (Bottle) - Pack of 2,2x600 ml,80,74
449,drinks,Cadbury Bournvita Women Chocolate Health Drink (Jar),400 g,275,275
450,drinks,Mountain Dew Grip Soft Drink (Bottle),600 ml,40,40
451,drinks,Mountain Dew Soft Drink (Bottle),2.25 lt,90,83
452,drinks,Pepsi Diet Soft Drink (Can),250 ml,30,30
453,drinks,Pepsi Diet Soft Drink (Can) - Buy 5 Get 1 Free,6x250 ml,180,150
454,drinks,Mountain Dew Soft Drink (Can) - Buy 5 Get 1 Free,6x250 ml,180,150
455,drinks,7UP Soft Drink (Can) - Buy 5 Get 1 Free,6x250 ml,180,150
456,drinks,Pepsi Swag Soft Drink (Can),250 ml,30,30
457,drinks,PediaSure Vanilla Delight Health Drink (Refill),1 kg,1240,1240
458,drinks,Complan Pista Badam Nutrition and Health Drink (Carton),500 g,315,300
459,drinks,Nestle Milo Active Go Health Drink,400 g,215,162
460,drinks,Pepsi Black Slim Soft Drink (Can),250 ml,30,30
461,drinks,Nestle Milo Active Go Health Drink - Buy 2 Get 1 Free,3x400 g,645,430
462,drinks,Mountain Dew Soft Drink (Can),250 ml,30,30
463,drinks,Ensure Vanilla Health Drink (Tin),400 g,565,565
464,drinks,PediaSure Premium Chocolate Health Drink (Jar),400 g,580,580
